,PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,EL-332,CS-318,CS-306,CS-312,CS-317,CGPA
0,2.7,1.4,1.7,2.0,1.7,1.4,1.0,1.7,2.7,1.7,1.7,3.4,1.0,3.7,2.7,2.4,1.4,1.4,1.0,4.0,1.0,1.7,2.0,1.7,2.4,3.0,2.0,2.4,2.0,1.7,2.0,1.7,1.7,2.205
1,4.0,1.0,1.4,1.0,2.7,2.0,1.0,4.0,1.4,1.0,3.4,2.4,2.7,1.7,1.4,1.4,1.0,2.0,1.0,2.7,2.0,1.0,1.4,1.0,1.7,3.7,1.4,1.7,2.0,3.7,1.0,1.4,1.0,2.008
2,4.0,3.0,4.0,2.7,3.4,4.0,2.7,3.4,3.7,3.7,2.7,3.7,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.7,4.0,4.0,2.4,4.0,3.4,3.7,3.0,3.4,3.7,3.7,3.0,3.0,3.608
3,1.0,2.4,1.4,1.0,1.0,3.7,1.4,1.7,1.0,2.4,1.0,3.0,1.4,2.7,1.0,2.0,3.4,2.4,1.0,1.4,1.0,1.0,1.4,1.0,2.7,1.0,2.7,1.4,1.4,3.4,1.7,1.4,2.0,1.906
4,3.7,3.7,3.7,3.4,4.0,4.0,3.7,3.4,4.0,3.7,2.0,4.0,4.0,3.7,3.7,3.7,2.7,4.0,3.7,4.0,3.7,3.7,2.4,1.7,3.7,2.7,3.7,2.4,3.7,2.7,3.7,2.7,3.4,3.448
5,4.0,2.7,3.0,1.4,2.4,3.7,2.4,3.0,3.4,3.4,1.7,3.7,2.7,3.4,3.7,3.4,3.0,3.7,3.0,3.7,3.7,2.4,3.4,1.7,3.7,2.7,2.4,3.0,3.7,2.7,3.4,2.0,2.7,3.026
6,2.7,1.7,3.7,1.0,3.7,3.0,4.0,3.4,3.7,3.4,3.7,4.0,2.0,2.4,1.7,2.7,2.7,3.4,2.0,4.0,2.4,1.7,2.4,2.4,3.4,3.4,3.0,1.7,3.7,2.0,2.4,2.7,2.0,2.957
7,3.4,3.4,2.4,2.0,2.0,3.7,1.7,3.7,3.0,3.7,3.4,4.0,3.4,3.4,2.0,3.7,3.4,3.7,2.0,3.7,2.4,2.0,2.0,2.4,3.7,1.4,3.7,2.0,3.0,3.0,3.4,1.4,3.4,3.043
8,3.7,2.0,3.7,1.4,3.0,3.7,3.7,3.7,3.4,3.7,3.7,4.0,4.0,3.7,2.7,3.7,3.7,4.0,2.7,4.0,2.4,2.4,3.7,1.7,3.4,3.0,3.0,3.4,3.7,3.4,3.7,3.4,3.0,3.358
9,4.0,3.0,2.4,3.0,3.0,3.7,2.0,2.7,3.7,4.0,2.4,3.7,2.7,4.0,3.7,4.0,2.7,4.0,2.7,3.7,2.7,3.7,3.0,3.4,3.7,2.7,2.7,2.4,3.4,2.7,3.7,2.4,2.7,3.247
10,3.7,2.7,3.4,1.7,1.7,2.7,2.4,2.7,4.0,3.7,1.4,4.0,2.7,3.7,1.0,3.4,2.7,3.0,2.4,3.7,1.4,2.0,3.4,2.0,3.7,2.0,3.0,1.4,2.0,3.7,3.4,2.0,2.7,2.681
11,3.7,2.0,3.7,2.4,1.7,4.0,2.7,3.4,3.7,3.7,3.7,4.0,3.4,3.7,3.7,4.0,3.7,4.0,4.0,4.0,3.7,3.7,2.7,2.4,3.7,2.4,2.7,3.0,4.0,2.7,3.7,3.7,2.7,3.281
12,3.0,2.0,3.7,2.0,2.7,3.0,1.4,2.0,3.4,3.7,3.7,2.7,3.4,3.4,3.7,2.4,1.7,3.0,1.7,2.7,1.4,1.0,3.4,1.4,3.7,3.7,2.7,2.0,2.7,3.0,2.4,1.7,2.0,2.792
13,4.0,1.7,3.7,1.7,3.0,3.7,2.4,3.7,3.7,3.7,1.7,4.0,3.4,4.0,3.7,3.7,3.0,3.7,2.4,4.0,3.4,3.4,4.0,3.7,3.7,3.7,3.7,3.4,4.0,3.7,3.7,3.0,3.7,3.523
14,4.0,2.0,3.7,2.4,3.7,4.0,2.7,3.7,3.7,4.0,2.0,3.7,2.7,3.7,4.0,3.4,2.7,3.7,2.7,4.0,3.7,3.4,3.0,1.4,3.7,3.7,3.7,2.4,4.0,3.7,3.7,2.4,3.7,3.443
15,3.7,1.7,2.7,1.0,2.7,3.4,2.7,3.7,3.0,3.7,2.0,3.0,3.7,2.7,2.7,2.7,2.4,3.7,2.4,4.0,1.0,2.7,2.0,2.7,3.7,1.7,3.7,1.7,2.0,2.0,2.7,3.0,2.0,2.777
16,3.7,1.7,4.0,1.4,3.7,4.0,3.0,3.7,3.7,4.0,3.0,3.7,3.7,4.0,4.0,3.7,3.7,4.0,3.4,4.0,3.0,3.4,4.0,2.7,3.4,2.0,3.7,2.7,3.7,2.4,2.7,2.0,2.7,3.248
17,2.7,1.7,2.0,1.0,1.0,2.4,1.4,3.0,3.4,1.4,1.0,3.4,1.0,2.7,1.0,1.4,2.4,3.4,2.0,2.0,1.4,1.0,1.4,2.0,1.7,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.4,1.787
18,4.0,1.7,4.0,2.4,3.7,4.0,3.7,4.0,4.0,4.0,3.0,3.7,4.0,3.7,3.7,3.7,3.4,4.0,3.7,3.7,3.0,3.7,3.7,1.7,2.7,4.0,3.7,3.4,3.7,3.7,3.7,2.7,3.7,3.572
19,3.4,2.0,3.7,1.7,3.7,3.4,3.7,3.7,4.0,4.0,3.4,4.0,3.7,4.0,3.7,3.7,3.7,4.0,3.4,3.7,3.4,4.0,3.7,1.7,3.0,3.7,3.4,3.0,4.0,3.0,2.7,2.0,3.4,3.483
20,3.4,2.0,3.0,1.4,2.7,1.7,1.7,1.7,1.7,3.7,1.4,3.7,2.7,1.4,3.4,2.7,1.7,2.7,1.7,3.7,1.0,1.4,2.0,1.4,2.7,1.4,2.7,1.7,2.0,2.0,2.0,1.4,1.7,2.246
21,3.0,3.4,2.7,2.0,3.7,3.7,1.4,2.4,3.0,2.0,2.0,3.0,3.0,3.7,2.4,2.7,2.4,3.0,1.7,3.4,2.4,2.0,3.7,3.4,3.4,3.7,3.4,3.0,1.7,3.0,2.0,2.4,3.4,2.956
22,3.4,2.4,2.7,2.4,1.7,3.7,2.7,2.4,3.7,2.4,2.7,3.7,1.4,4.0,2.7,3.4,1.0,3.7,2.7,3.7,3.4,2.7,3.0,1.7,3.0,3.0,3.7,2.4,3.4,2.7,3.4,1.7,3.0,2.953
23,4.0,3.7,4.0,3.7,4.0,4.0,2.7,3.7,3.4,4.0,3.0,3.7,3.4,3.7,4.0,3.7,3.7,4.0,3.7,4.0,3.4,3.7,3.7,2.7,3.4,3.4,3.7,3.7,3.7,3.7,3.7,2.7,2.7,3.586
24,4.0,2.7,3.7,3.0,3.4,3.7,3.0,4.0,4.0,3.7,2.4,4.0,3.0,3.7,3.7,4.0,3.0,4.0,3.7,3.7,3.7,3.7,4.0,2.7,3.4,3.7,3.0,2.7,4.0,3.0,3.0,2.7,3.4,3.475
25,2.4,1.7,2.0,1.7,1.0,2.7,1.0,2.4,3.7,3.4,1.0,3.7,1.4,3.4,1.4,2.0,1.0,3.4,1.4,2.0,1.0,1.0,1.0,2.0,3.0,1.4,2.7,1.4,2.7,1.7,2.0,1.4,1.4,2.228
26,4.0,3.4,4.0,3.7,3.7,4.0,2.4,4.0,4.0,3.7,3.4,3.7,3.0,3.7,3.7,3.7,2.7,4.0,3.0,4.0,3.7,3.7,3.0,1.7,3.4,3.4,3.7,2.0,3.7,3.4,4.0,2.4,3.0,3.44
27,2.0,2.4,1.4,1.4,1.7,3.4,1.0,2.0,3.0,3.0,3.7,3.0,1.0,2.4,1.4,2.0,1.7,1.7,2.0,2.0,1.4,1.0,2.4,1.4,3.0,2.4,2.4,1.4,1.7,2.0,2.0,1.0,1.0,2.188
28,3.4,3.0,3.7,3.4,2.7,4.0,3.0,1.4,3.7,3.7,1.7,4.0,4.0,3.4,3.0,3.4,2.7,4.0,2.7,3.7,2.4,3.7,3.0,1.7,3.7,3.7,3.7,2.4,3.7,2.7,3.4,2.4,3.4,3.195
29,2.0,2.7,2.0,1.4,3.0,3.0,2.4,2.4,2.4,3.0,1.0,3.7,1.4,2.4,2.7,2.7,2.0,2.7,2.0,2.7,1.0,1.7,1.7,1.7,2.7,1.4,2.7,1.7,2.4,2.4,1.7,1.4,2.0,2.294
30,3.7,3.0,4.0,3.4,2.7,3.7,3.4,4.0,3.7,4.0,3.0,3.7,2.7,3.7,3.7,4.0,3.7,4.0,4.0,4.0,3.4,3.4,3.7,2.4,3.7,3.0,3.0,2.7,3.7,3.7,3.0,2.0,3.7,3.443
31,4.0,2.4,3.7,2.4,3.4,3.7,2.7,3.4,3.7,3.7,3.0,3.0,3.4,4.0,3.7,4.0,2.4,3.7,3.7,3.0,2.7,3.7,2.7,1.4,3.0,2.7,3.7,1.7,2.7,3.0,2.4,2.0,2.4,3.133
32,3.0,2.4,4.0,1.4,3.7,4.0,3.7,4.0,3.7,3.7,2.7,3.7,3.7,3.7,3.7,3.7,3.7,4.0,3.0,4.0,2.7,3.7,3.4,1.4,2.7,3.0,3.0,2.4,3.7,3.0,3.0,2.4,3.0,3.22
33,4.0,2.4,3.7,3.0,3.7,3.4,1.7,3.4,3.7,2.7,1.7,4.0,3.0,3.7,3.7,3.7,2.4,3.7,3.0,4.0,2.7,3.4,3.0,2.0,3.7,2.0,3.0,2.0,3.7,2.7,3.0,1.4,2.7,3.112
34,3.4,2.7,3.7,4.0,2.4,3.7,1.0,3.7,3.7,2.4,1.7,4.0,2.0,4.0,3.0,3.7,3.0,3.7,1.7,4.0,3.0,2.0,2.7,3.7,3.7,3.0,3.7,1.7,3.4,2.7,3.7,2.0,3.4,3.16
